身热肢寒	热深厥深身热肢寒 阴盛格阳身热肢寒
四肢肿胀	气滞肌表四肢肿胀 寒湿凝滞四肢肿胀 气虚血瘀四肢肿胀 脾肾阳虚经行浮肿 湿热蕴结四肢肿胀
妊娠尿血	心火亢盛妊娠尿血 肝经郁热妊娠尿血 阴虚火旺妊娠尿血
少气	肺气虚少气 胃寒嘈杂 气血两虚星翳 脾胃虚弱四肢瘦剖 气血亏虚汗出偏沮 气血两虚舌光 气血两虚关节疼痛 肾不纳气少气 脾气虚口唇淡白 脾胄虚寒多唾 睥肾气虚骨痛 醇气虚面色蒌黄 气血亏虚四肤疼痛 睥肾两虚喉中痰鸣 气虚里急后重 气血两虚老花眼 气血两虚脱形 气阴两虚舌光 阳虚面色白 气虚下陷大便失禁 气血虚弱消瘦 气血两虚疲乏 脾胃气虚消瘦 脾不统血经行便血 脾胃气虚瘫痪 暑耗肺胄气阴疲乏 心脾两虚多梦 心气虚少气 气血两虚脱发 肺脾气虚倒睫 气虚齿动牙痛 气血两虚啮齿 气虚血瘀面痛 中气不足肠鸣 气虚肥胖 脾气虚脱形 脾气虚弱夜盲 脾气虚少气 气血亏虚手舞足蹈 脾气虚头晕 心气虚心悸 气虛低热 寒邪凝滞胚周痈肿 气虚舌纵 肾虚腰痛 气虚血褒股阴痛 肺阴虚咳嗽 脾虚气弱小儿青盲 胃寒恶心 脾胃气虚潮热 热伤气阴少气 气血两虚胎位不正 脾虚气陷遗尿 心阳虚心悸 睥肾阳虚脑髓失充囟陷 气阴两伤心中懊侬 脾虚舌胖 气血两虚毛发变异 脾胃虚寒反胃 热扰胸鎘心中懊侬 虚寒肛漏 气血两虚动风口眼呙斜 肺气虚便难
郑声	亡阴郑声 亡阳郑声
口唇淡白	血虚口唇淡白 心气虚心悸 脾气虚口唇淡白
皮肤肥厚	风湿蕴肤皮肤肥厚 血虚风燥皮肤肥厚 脾虚血燥皮肤肥厚 气滞血瘀皮肤肥厚
崩中	血热崩中 脾气进崩中 肝肾阴亏崩中 气血两虚麻木 肾阳虚崩中 脾不摄血紫斑 血班崩中 脾不统血红斑
小儿口疮	心脾积热口疮 虚火上浮口疮
口眼呙斜	风邪外袭口眼呙斜 风疲入络口眼呙斜 肝气郁结口眼呙斜 气血两虚动风口眼呙斜 肝风内动口眼呙斜
嘈杂	胃寒嘈杂 胃火炽盛舌疮 胃阴虚胃痈 脾胃虚弱经行呕吐 脾胃热盛咽干 肝胃不和嘈杂 胃热炽盛鼻干 胃热恶心 余热扰服不寐 虫积消瘦 肺胃津亏瘫痪 蝈虫啮齿 胃实热吐血 伤食嘈杂 胃热嘈杂
小儿乳娥	肺胃热盛乳娥 风热外袭乳娥 虚火上炎乳蛾
头热	肾阴不足头热 肝火上炎头热 虚阳浮越头热
小便不通	气滞产后小便难 膀胱湿热小便黄赤 气虚产后小便难 脾气虚妊娠小便不通 元气虚弱小便不通 肾气不足小便不通 中气不足小便不通 血瘀产后小便难 肝气郁结小便不通 肾气虚产后小便难 肺气壅滞小便不通 热结膀胱小便不通 溺道瘀阻小便不通 下焦湿热小便不通 气滞妊娠小便不通
阴痛	肝郁气滞阴痛 肝经湿热阴痛 寒滞肝脉阴痛 肝肾阴虚阴痛 气虚下陷阴痛
目视无神	阴血亏虚目视无神 精气衰败目视无神
舌纵	心火炽盛舌纵 肝气郁结舌纵 气虚舌纵
吐血	热入营血发癍 脾肾阳虚吐血 瘀阻肺络咳血 邪入血分发热 肝火犯胃吐血 痰火扰心心悸 褒血攻心谵语 热入营血面色红 血分热毒舌紫 阴虚火旺吐血 心脾不足吐血 胃膀血挤吐血 疲血阻滩反宵 热炽营血壮热 胃实热吐血 肝火上炎面色红 肝火犯胃宵痛 热入营血烦躁 瘀阻胃络胃痛
少腹痛	寒滞肝脉少旗痛 肝气郁结少腹痛 肠道湿热少腹痛 肝寒少腹痛 血疲产后身痛
小儿尿白	湿热下注尿白 乳食积滞尿白
舌淡白	血虚生风眼皮跳 气血亏虚手舞足蹈 肾精亏虚手舞足蹈 气虚血瘀四肢肿胀 脾胃虚弱月经过少 气虚血褒股阴痛 气血两虚舌光 肾阳虚摊痕 肺寒咳痰 妇女妊娠手舞足蹈 气血两虚舌淡白 亡阳液脱四坡拘急 气血两虚胎位不正 阳脱面色白 血瘀气滞四肢强直 脾经虚寒啼哭 肝郁血虚手舞足蹈 血虚风袭手颤 脾不摄血紫斑 水寒气从少腹上冲 脾虚寒湿舌淡白 肝肾亏虚半身不遂 胎寒五硬 气虚血挤半身不遂 气虚血瘀面痛 风寒湿阻四肢强直
皮肤白庀	湿热白庀 血热白庀 寒湿阻络白庀 血虚白庀 審热逋结白庀 血疲白庀
舌不知味	痰迷心窍舌不知味 误食中毒舌不知味 心血虚舌不知味
舌麻	血虚舌麻 风热上扰颜面红肿 肝风舌麻 痰阻舌麻
步态不稳	气郁疾阻步态不稳 脾肾亏虚步态不稳 肝肾阴虚步态不稳
肩痛	瘀血肩痛 胸供肩不举 风寒肩痛 痰湿肩痛 痹痛肩不举
足趾发黑	寒湿下注足趾发黑 湿毒下注足趾发黑 瘀血阻滞足趾发黑 肝肾阴虚足趾发黑
四肢麻木	风痰阻络四胺麻木 肝阳化风四肢麻木 风中经络四肢麻木 肝肾亏虚痴呆 湿热部阻四肢麻木 气滞血瘀四肢麻木 痰阻舌麻 气血两虚动风四肢麻木
胫痠	湿热下注胫痠 肾阴虚胫瘘 肾气虚胫痠
阴部水疱	肝肾阴虚阴部水疱 血热染毒阴部水痕 湿热下注阴部水疱 气虚湿毒阴部水疱
头白秃	湿热挟毒头白秃 风热挟毒头白秃
腰冷	表虚风湿腰重 风寒腰冷 寒湿腰重 寒湿腰冷 肾阳虚衰腰冷
谵语	风热化火丹毒 热织阳明谵语 营分热盛舌生芒刺 湿热蒙蔽谵语 阳明腑实谵语 热入营血口渴 褒血攻心谵语 痰火上扰谵语 真热假寒面色白 温热时毒颜面红肿 热毒攻心谵语 热炽营血壮热 热毒籩结腹部硬满 热毒内陷营血鼻肿 疮毒内陷寒战 热入营血但热不寒 阳明腑实潮热 心火亢盛舌衄 热结肠道但热不寒 阳明捬实烦躁 痢毒上攻谵语 热入心包舌强 心火炽盛小便黄赤 血热扰神心烦 阳盛实热舌红绛 阳明实热舌裂 热入血室妄听妄视 胃肠实热政满 热入营血红疹 邪入营分发热 热入营分谵语 疫毒供灼气营丹痧
毛发变异	精血亏虚毛发变异 血热化燥毛发变异 气血两虚毛发变异
腰重	表虚风湿腰重 寒湿腰重 肾阳虚腰重
小儿风疹附奶麻	卫分邪热风疹 气分邪热风疼
麻疹	邪透疼没肺胃阴伤〈收没期〉 邪毒炽盛闭肺内陷《陷逆证》 麻毒时邪由里出表〔初热期〉 疼毒外达肺部苔热《见形期〉
妊娠发疹	风热妊娠发疹 血虚妊娠发疹
呕吐	肝胆湿热胁痛 风热化火丹毒 胃阴虚呕吐 虫扰胆府手足厥冷 风热痰盛口颊澳烂 肝气犯胃经行呕吐 寒邪犯胃胃痛 饮食不进大便脓血 湿热发黄 心脾积热啮齿 气逆气从少腹上冲 寒饮内停恶寒 暑热惊风 脾胃虚弱积滞 伤食呕吐 寒滞肝脉少旗痛 胃肠湿热大便胺血 脾肾阳虚经行泄泻 邪毒内陷心肝 亡阳液脱四坡拘急 热毒籩结腹部硬满 痰饮伏胃经行呕吐 少阴寒化恶寒 乳食不节积滞 寒湿中阻腹满 痰浊内阻手足厥冷 风热唇肿 伤食积滞啼哭 风热上扰颜面红肿 食滞吐泻 脾胃虚弱经行呕吐 水饮凌心小儿心悸 痰湿上逆头目胀痛 时疫霍乱吐泻 食积腹痛 痢毒上攻谵语 胃热吐蚘 肝火犯胃头目胀痛 胃寒妊娠呕吐 阳气郁阻手足厥冷 水气凌心心下悸 风热牙疳 寒礙肝脉畏寒 阳虚身振摇 外邪客宵呕吐 痰湿咳嗽 肝热妊娠呕吐 痰火郁结瞳神散大 胃阴虚恶心 一、湿热初侵，邪犯肺胃 湿热壅滞舌苔黄 食积胃痛 痰浊上蒙晕厥 饮热互结腹部硬满 脾胃虚寒黄液上冲 胃有秽浊不乳 痰湿阻络目偏视 肝阳化风半身不遂 痰火扰神心下悸 食滞惊风 外邪干胃呕吐 热毒炽盛痄腮 蝈虫扰动梗阻肠道症 胃热妊娠呕吐 惊恐呕吐 误食中毒舌不知味 肝寒少腹痛 痰饮壅盛憋气 伤食腹泻 肝火犯胃宵痛 胃热呕吐 气随血脱异位妊娠 胃寒呕吐 痰火内扰妊娠心烦 肝郁气滞胃痛 中焦寒湿肠鸣 痰饮中阻舌答灰黑 胃肠湿热蕴毒便血 乳食积滞尿白 胎毒菹结丹毒 食滞宵肠啮齿 过食生冷积滞 痰滞妊娠呕吐 痰气痞 升降失常腹部硬满 肝胆湿热小便黄赤 蟈虫扰动穿肠入胆症 毒入血分皮肤红线 痰湿内阻头晕 肝胃不和呕吐 痰浊阻滞梦游 伤食产后发热 血虚产后眩晕 气血损伤烧虫扰动症 寒湿吐泻 疟各痞块
小儿鹅口	脾肾阴虚箱口 心脾积热银口
口淡	脾阳虚产后浮肿 水湿困脾浮肿 风寒束表背冷 寒滞扬道面色青 脾胃虚弱月经过少 寒滞肠道面色白 脾不统血鼻紐 痰湿白带 寒湿困脾口腻 虚寒吐泻 阴寒内盛小便清长 气阴两虚口淡 睥肾气虚骨痛 胃寒吐蚘 湿困脾胃口淡 血虚口唇淡白 腑肾阳虚食欲不振 脾阳虚畏寒 脾肾阳虚四肢抽搐 阳虚面色白 阳虚舌边齿痕 阳虚寒盛寒战 风寒妊振腹痛 脾胃湿热口甜 寒湿困脾畏寒 睥虚湿泛妊振肿胀 脾气虚弱经行泄泻 脾气虚弱经断复行 脾胃气虚口淡 胃寒干呕 寒湿吐泻
啮舌	热盛动风啮舌 风痰上扰啮舌
烦躁	肝胆火旺善怒 气郁低热 诸虫积滞异嗜 毒热炽盛肌肤疼痛 阳明腑实谵语 肝郁气滞皮肤黑斑 肝火上炎白睛溢血 毒热炽盛蝶形红斑 热盛伤津舌干 血虚肝郁小儿青盲 心脾积热重舌 痰浊壅闭咽喉白腐 心肾不交多梦 毒热炽盛脱屑 阴虚阳亢善疑 气郁阴吹 疳积脾虚手足心热 湿热蘊肺咳痰 肝郁气滞经行情志异常 肝火犯胃头目胀痛 肝经郁热不寐 肝郁化火妊娠消渴 肝肾亏虚关节变形 心火炽盛舌纵 表寒里热无汗 阳明实热舌裂 气血亏虚缺盆溃烂 肝火上炎面色红 肝火犯肺咳嗽 热入营血红疹 热入营分谵语 外感惊风 外邪客宵呕吐 气滞血瘀经间期出血 疫毒供灼气营丹痧 热入营血烦躁 一、湿热初侵，邪犯肺胃 肝阳上扰头晕 肝阳上扰头痛 胃肠实热舌苔黄 阴虚血热胎萎不长 阴虚火旺妄想 情志异常异嗜 肝郁气滞阴痛 痰热惊风 热炽气分口渴 热毒攻心谵语 肝郁气滞经行腹痛 肝胆郁热瞳神干缺 暑伤肺胃夏季热 气分热盛烦躁 肝胆火热赤膜下垂 肝胆湿热妊娠疫痒 肝火犯胃宵痛 肝阳上亢妊娠头痛 热入营血但热不寒 疫毒凌心咽喉白腐 阴虚火旺发狂 气滞血褒过期不产 肝风舌颤 肾虚肝旺小儿多动 肝火上逆暴盲 阳盛实热舌红绛 心脾壅热木舌 情志异常喜食异物 暑热伤气但热不寒 心阴虚心悸 肝风内动身振摇 心经积热啼哭 湿热腹泻 暑热伤气潮热 肾虚费弱囟门不合 肝胆湿热尿频 气虚肝热轮上赤豆 心火炽盛善喜 热入营血口渴 风热湿毒耳痒 血分热毒舌紫 肝郁气滞性早熟 实热腹痛 心火充盛善惊 胃火燔齿牙齿焦黑 胃火炽盛妊娠消渴 热深厥深身热肢寒 热结膀胱小便不通 脐结松脱脐出血 热毒内陷营血鼻肿 肝郁化火经前乳胀 阴虚火旺烦躁 气滞血疲胞衣先玻 热结肠道但热不寒 湿热郁阻三焦寒热往来 肺胃热盛乳娥 痰热闭肺鼾眠 肝火上炎头胀 肝郁气滞经前乳胀 脾宵积热流铤 瘟毒发黄 疲火扰心善喜 邪入营分发热 肝郁化火经行吐衄 心血不足烦躁 心经积热舌肿 风热挟湿红疹 气滞血瘀沩胎 肝阳化风四肢麻木 饮热互结腹部硬满 肝风内动半身麻木 热毒炽盛大便失禁 脾伤疳积目札 津气亏虚白痏 胎热丹毒（俗称游火） 热毒炽盛痄腮 乳积乳房红肿 热炽营血壮热 阳明腑实心中懊侬 肝胆火盛抱轮红 肝风内动手颤 肝风痰热小儿抽动 瘀血内结烦躁 气随血脱异位妊娠 疾火内扰烦躁 疲疲互结把胖 阳明捬实烦躁 热毒蕴肠异嗜 表寒郁热烦躁 毒热炽盛天疱疮 气滞血班难产 心脾积热银口 胎毒菹结丹毒 毒热炽盛丹毒 热陷心包神昏 肝郁妊娠心腹胀满 肝郁气滞皮肤褐斑 气滞血瘀妇人腹痛 湿热壅滞带状疱疹 阴虚火旺不射精 瘀血阻滞鼾眠
小旗痛	膀胱阻滞小腹痛 膀胱湿热小旗痛 肾虚寒褰小腹痛
大便失禁	脾肾阳虚大便失禁 热毒炽盛大便失禁 气虚下陷大便失禁
黑睛云翳	风热余邪云翳 胃阴不足云翳 肾阴亏损云翳 气滞血疲云翳
精液清冷	肾气不足精液清冷 沉寒痼冷精液清冷
梦游	心肺阴虚梦游 痰浊阻滞梦游 肝气郁结梦游 痰火扰心梦游 心气亏虚梦游 心肾不交梦游 褒血阻滞梦游
口臭	胃火燔齿牙齿浮动 肺胃热盛咽喉白腐 脾胃积热阴疮 胃热阴伤消渴 食滞胃脑口臭 火毒内侵悬雍下垂 宵热熏蒸经行口廉 宵肠积热经行便血 胃火呃逆 胃火炽盛妊娠消渴 湿热结单腹胀大 胃热炽盛消瘦 痰热蕴肺口臭 脾胃热盛口唇焦裂 伤食腹泻 胃火燔龈牙龈蒌缩 胃热炽盛口臭 胃热呕吐 心脾积热口疮 胃火炽盛鼻衄 肺胃热盛乳娥 胃肠积热粉刺 胃热恶心 心脾积热银口 乳食积滞尿白 风火熏迫大扬便血 胃火血热经行吐衄 脾宵积热流铤 靑腿牙疳 肺胃热盛咽肿 胃肠实热小便黄赤 肝热妊娠呕吐
腰痠	阴虚阳亢生风四肢抽搐 肾精亏虚手舞足蹈 肾虚腰痠 肾阴虚舌疮 肝胆湿热尿频 阴虚火旺皮肤褐斑 肝肾阴虚夜盲 气虚黄带 肝肾虚腰膝无力 阴虚火旺血精 肾虚水泛妊娠肿胀 肾虚痰阻气喘 肝肾阴虚阴痛 肾阳虚衰女阴白斑 肾阳虚咳嗽 脾肾阳虚经行泄泻 肾气亏虚滑胎 相火偏旺滑胎 劳损腰痠 阳虚水泛身重 心肾不交健忘 虚寒五色带 肾元亏损耳内流旅 沉寒痼冷精液清冷 阴虚火旺远视 肺肾气虚妊娠咳嗽 肝肾阴虚便血 阴虚齿燥牙齿浮动 湿热壅滞阴道异常出血 肾阳虚胎动不安 阳虚水泛气喘 肾阴亏虚尿痛 血瘀湿热不孕 肾阳不足遗尿 阴虚火旺妊娠尿血
夏季热	上盛下虚夏季热 暑伤肺胃夏季热
心下悸	水气凌心心下悸 阴虚火旺心下悸 痰火扰神心下悸 心阳虚心下悸
耳衄	肝火上逆耳衄 阴虚火旺耳衄
舌苔黄腻	肝胆湿热胁痛 湿热腹泻 风热痰盛口颊澳烂 肺火上炎鱼胞 热结旁流腹泻 湿热熏蒸头汗 风热湿毒耳痒 脾胃湿热手足汗出 湿热发黄 湿热上犯视瞻昏渺 湿热结单腹胀大 胃肠湿热大便胺血 热毒壅盛鼠蹊肿痛 湿热下注臁疮 肝胆湿热耳内流脓 肝胆湿热舌苔黄腻 酒毒内蕴白睛红赤 湿热阴挺 湿热侵淫痿废 湿热阻痹骨痛 湿热下注阴痒 肝胆湿热耳胀闷 肝郁血热腋窝红肿 湿热壅遏眼睑丹毒 湿热蕴积黄汗 余毒流注鼠溪肿痛 湿热里急后重 脾胃积热目畏热 风热挟湿红疹 痰火扰心妄听妄视 湿热郁蒸但热不寒 火毒凝滞腋窝红肿 热重于湿阴肿 大肠湿热舌苔黄腻 疾热结胸舌苔黄腻 肝胆湿热腋汗 肝经湿热女阴白斑 睥胃湿热呕吐 脾胃湿热胬肉 痰热蕴肺口臭 湿热蕴结四肢肿胀 署湿吐泻 湿热阻滞下肢生疽 痰热闭肺舌苔黄腻 湿热下注胫痠 湿热蘊结肛裂 湿热阻络红斑 湿热郁蒸心中懊侬 胃肠湿热蕴毒便血 湿热蕴蒸头重 脾胃湿热脐漏 湿热雄结便难 湿热郁阻白痏 痰火口唇红肿 脾经湿热鼻痒 湿热龜结研腹痛 脾肺积热赤膜下垂 湿热内苔皮肤褐斑 风湿夹热瞳神缩小 湿热郁蒸鼻肿 署湿籩结肩背痈肿
背冷	风寒束表背冷 痰饮内伏背冷
耳聋	热灼肾阴舌苔灰黑 肝胆湿热阴疮 心肾不交耳聋 肝肾虚腰膝无力 肾阳虚面色熏黑 风热袭肺耳聋 肝火耳聋 暑湿蕴蒸面诟 肾阳亏虚耳胀闷 肝经湿热腰如翔束 温热时毒颜面红肿 肝肾亏虚痴呆 胎毐内藴杨梅疮 肾阴虚耳聋 肝肾阴虚舌蒌 脾肾阳虚四肢瘦削 阴虚火旺瞳神散大 肝肾两亏流泪 痰火耳聋 肝肾阴虚阴疮 肝肾阴虚耳胀闷 肾虚失藏小便抉精 肝火上炎头热 阴精亏拫赤脉传睛 肾元亏损耳内流旅 肾阴亏虚尿浊 脾胃虚弱耳聋 肾阴欲竭舌光 肾精不足嗜睡 髓亏头倾 肝血不足耳费 邪入少阳胁痛 肾阴虚咽干 肝阳上亢耳聋 肾精不足骨痛 气滞耻嵌耳聋 肝火上炎舌衄 肾气不足耳聋
四肢疼痛	热邪阻络四肢疼痛 湿热阻络四肢疼痛 湿邪狙络四肢疼痈 风邪阻络四肢疼痛 寒邪阻络四肢疼痛 气血亏虚四肤疼痛 肝肾亏虚四肢疼痛
经行情志异常	心血不足经行情志异常 肝郁气滞经行情志异常 痰火上扰经行佾志异常
颜面浮肿	肺气虚弱颜面浮肿 脾阳不足颜面浮肿
腰脊痛	风寒湿阻腰脊痛 太阳伤寒腰脊痛 瘀血腰脊痛 肾虚腰脊痛 阴虚火旺咳血
牙齿痠弱	风寒袭络牙齿痠弱 脾肾气虚牙齿痠弱
皮肤糜烂	阴虚湿阻糜烂 脾湿内蕴糜烂
无名肿毒	热毒壅聚无名肿毒 风寒外侵无名肿毒
无汗	风寒袭络半身麻木 风寒侵犯小儿音哑 风寒表实无汗 外感风寒发热 暑伤肺胃消渴 外感寒湿舌苔白腻 风寒束表恶寒 湿著肌表身痛 风寒袭络手颤 太阳伤寒头冷 寒湿袭表舌苔白 寒湿腰冷 风寒表证口噤 风邪犯表产后发热 寒邪外束寒战 风寒束表舌苔白 风寒束表面色白 太阳伤寒腰脊痛 风寒束表啮齿 寒疲阻肺哮鸣 表寒里热无汗 寒邪束表面色青 外感惊风 风寒欲解鼻衄 外感暑邪发热 湿热壅盛痱子 热极肢厥手足厥冷 风寒鼻流涕 风寒束表四肢拘急 风寒束表项强 邪伏阴分五心烦热 风寒闭肺气喘 风寒腰冷 凉燥袭肺恶寒 暑伤肺胃夏季热 寒热错杂哮鸣 风寒妊娠咳嗽 风寒咽痛 风寒袭肺耳胀闷 风寒束表身痛 风邪犯表足热 表寒郁热烦躁 风湿疠气麻木 风寒袭肺喷嚏 靑腿牙疳 寒湿束表无汗 风寒产后发痉 风寒袭表恶寒发热 外感风寒经行身痛 热毒壅盛妇人腹痛 风寒袭肺白睛溢血
腰痛	肺脾肾虚肛周疮毒 肝肾虚腰膝无力 沉寒痼冷精液清冷 肾虚腰痛 瘀血阻络展痛 寒湿阻络产后腰痛 肾亏血虚产后腰痛 风寒湿腰痛 湿热阻辨腰痛 带脉不利腰如绳束 肾阳虚崩潘 气血两虚阴道异常出血 瘀血腰脊痛 肾阳虚产后浮肿
舌红绛	虚热便血 阳盛实热舌红绛 暑热惊风 阴虚风内动手颤 阴虚内热舌红绛 阴虚风动小儿抽动 邪毒内陷心肝 热毒内陷营血鼻肿 热入营血面色红 疫毒供灼气营丹痧 热入营血暴盲
小儿呕吐	惊恐呕吐 睥胃湿热呕吐 胃气虚弱呕吐 脾肾阳虚呕吐 乳食积滞呕吐 外邪客宵呕吐 胃阴不足呕吐
皮肤红斑	血热风燥红斑 阴虚火旺红斑 湿热阻络红斑 风邪外袭红斑 风热伤营红斑 脾不统血红斑 脾虚湿盛天疱疮
鼻干	肝经风热流泪 胃火炽盛鼻衄 肺脾气虚鼻干 肺热津伤瘘废 肺经热盛鼻干 胃热炽盛鼻干 肺燥阴虚鼻干 燥热伤津目干涩 肺阴虚咽干 肺肾阴虚鼻塞 风热壅肺鼻衄 肺燥津亏口渴 燥邪伤肺鼻干 肺经郁热粉刺 燥干清窍面诟
面部脱屑	阴虚血燥面部脱屑 血热风燥面部脱屑 脾胃湿热面部脱屑
足趾渍烂	火毒蕴结足趾渍烂 外感邪毒足趾渍烂
鼻流涕	气虚鼻流涕 风热鼻流涕 燥热鼻流涕 风寒鼻流涕 肾虚鼻流涕 湿热鼻流涕
偏头痛	寒饮内停偏头痛 褒血犯头偏头痛 肝阳上扰偏头痛
脐疮	气血不足脐疮 毒热内盛脐疮
独语	褒气郁结独语 心气虚独语 气滞血褒独语
闭经	脾胃气虚闭经溢乳 肝肾阴虚经断前后诸症 肝肾阴虚毛发脱落 肾气亏虚闭经 肾阳虚衰女阴白斑 气滞血疲闭经 脾肾不足煤形红斑 肾阳虚不孕 气血虚弱闭经 痰湿阻滞闭经 阴虚血燥闭经 气滞血疲蝶形红斑 心肾不交经断前后诸症 脾肾拓虚毛发脱落 肝郁化火闭经溢乳 脾肾阳虚经断前后诸症
囟门凸起	火毒上攻囟门凸起 寒气凝聚囟门凸起
小儿舔舌	脾经伏热舔舌 脾虚津乏舔舌
疳积	或食脾胃损伤疳积 病后失调疳积
蟹睛	肝胆实火蟹睛 阴虚火旺蟹睛 脾虚气陷疳翳 热毒壅盛星翳 气虚肝热蟹睛
胎萎不长	气血两虚胎萎不长 气滞血瘀胎萎不长 阴虚血热胎萎不长 肾气亏虚胎萎不长
小儿多汗	阴血亏虚多汗 脾胃积热多汗 表虚不固多汗 营卫不和多汗
足痛	肝肾阴虚足痛 风湿痹阻足痛 寒湿凝滞足痛
过期不产	气滞血褒过期不产 血两虚过期不产
反胃	阴虚血搡反胃 胃寒呕吐 气阴两虚反胃 胃阴虚胃痈 胃阴虚舌剥 酒积湿热反胃 寒饮内停反胃 疲血阻滩反宵 虫积反胃 脾胃虚寒反胃 疾气互结反胃 胃阴干涸舌光 命门火衰反胃
经行浮肿	脾虚湿滞经行浮肿 气滞血疲经行浮肿 脾肾阳虚经行浮肿
背痛	气血瘀滞背痛 疾热阴虚粟疹 寒湿侵袭背痛
经行抽搐	肝郁血虚经行抽搐 血虚经行抽搐 风痰经行抽搐
杨梅疮	湿热下注杨梅疮 毒热炽盛杨梅疮 胎毐内藴杨梅疮 毒邪流窜杨梅疮
里急后重	气虚里急后重 寒湿大便脓血 肠道湿热少腹痛 津伤血虚里急后重 湿热肛门疼痛 大肠湿热舌苔黄腻 气滞里急后重 湿热下注直肠息肉 胃肠湿热大便胺血 时发时止大便脓血 暑入厥阴大便脓血 湿热龜结研腹痛 湿热蕴结大便变形 湿热里急后重 湿热獲结肛门生痔 大肠湿热壮热
上吐下泻	署湿吐泻 食滞吐泻 时疫霍乱吐泻 虚寒吐泻 寒湿吐泻
小儿腹泻	湿热腹泻 脾虚腹泻 风寒腹泻 伤食腹泻
目生椒粟	脾经湿热目生椒粟 脾经风热目生椒粟
面痛	风寒挟痰阻络面痛 风热挟痰阻络面痛 肝郁化火面痛 气虚血瘀面痛
牙痛	齲齿牙痛 气虚齿动牙痛 风寒牙痛 虚火灼齿牙痛 风热犯齿牙痛 胃火燔龈牙痛
膝肿痛	寒湿阻滞膝肿痛 寒湿阻滞腿肿痛 气血两虚膝肿痛 湿热阻滞膝肿痛 湿毒鼉结膝肿痛 肝肾虚损膝肿痛 热毒蕴结膝肿痛
腹泻	湿热腹泻 热结旁流腹泻 食积腹泻 时疫霍乱吐泻 湿热肛门疼痛 寒湿腹搏 肾虚腹泻 痰湿流注结节 肠胃湿热肠鸣 湿热雄结便难 胃肠湿热大便胺血 毒入血分皮肤红线 脾虚腹泻 时发时止大便脓血 风湿唇肿 肝郁脾虚腹泻 脾肾拓虚毛发脱落
外阴疣赘	湿热疫毒外阴疣赘 湿毒凝聚外阴疣赘
暴盲	阴虚火旺暴盲 热入营血暴盲 肝火上逆暴盲
血灌瞳神	肝肾阴虚血灌瞳神 被物所伤血灌瞳神 肝胆火热血灌瞳神 脾不统血血灌曈神 外伤瞳神散大
肛门生痔	风火燥结肛门生痔 湿热獲结肛门生痔 气虚下陷肛门生痔 气血瘀结肛门生痔
妊娠眩晕	气血两虚妊娠眩晕 脾虚痰湿妊娠眩晕 阴虚阳亢妊娠眩晕
小便清长	血虚口唇淡白 寒滞扬道面色青 脾肾阳虚呵欠 肾阳虚畏寒 肾阳亏虚耳胀闷 阳气虚发癍 阳虚寒凝手足紫绀 肾阳虚衰阴冷 肾阳虚不孕 肝肾亏虚关节疼痛 脾肾阳虚紫斑 肾阳不足小便清长 阴寒内盛小便清长 风寒腹泻 脾胃不调鑕虫扰动症 脾胃虚寒胃痛 脾虚湿盛湿疮 少阴寒化恶寒 肾虚寒褰小腹痛
小儿紫癜	瘀血阻络紫癜 脾虚血弱紫癜 阴虚血热紫癜 湿热风毒紫癜
妇人阴冷	肝经湿热阴冷 痰湿下流阴冷 肝气郁结阴冷 肾阳虚衰阴冷 风寒外袭阴冷
