身热肢寒	热深厥深身热肢寒 阴盛格阳身热肢寒
盗汗	阴虚火旺暴盲 肝阴虚阳亢头晕 阴虚火旺尿脓 相火偏旺性早熟 阴虚火旺汗血 肾阴不足遗尿 阴虚内热舌红绛 阴虚血燥闭经 心肾不交多梦 阴虚动风头摇 阴虚火旺心中懊侬 水火不济善喜 气阴两虚舌剥 血虚月经过少 阴精不足远视 心肺阴虚梦游 虚火上炎重舌 阴虚火旺妄听妄视 疳积脾虚手足心热 表虚不固多汗 肝肾阴虚血灌瞳神 肾精不足善恐 肝肾亏虚关节变形 脾胃积热多汗 肺阴虚消瘦 阴虚血热紫癜 心阴虚火旺心烦 肝肾阴虚白睛红赤 阴虚肺燥经行吐衄 阴虚血热乳头玻裂 肝肾阴虚瘫痪 邪阻半表半里盗汗 阴虚火旺咽喉白腐 阴虚五心烦热 心血不足盗汗 阴虚火旺咳血 血虚产后发热 肺热阴虚咽中异物感 疾热阴虚粟疹 肝肾阴虚月经过多 阴血不足善惊 虚热肛门疼痛 阴虚火炎胞内生肉 肝肾阴虚瘰疬 阴虚悉露不断 肾阴虚损鼻衄 心肾不交健忘 脾虚湿阻盗汗 肝肾阴虚便血 气阴两虚小儿心悸 阴虚血热不孕 肾阴亏虚尿痛 阴虚血亏潮热 气血两虚动风角弓反张 心阴虚心悸 阴虚血搡反胃 气血虚衰肛门流脓 气血两虚四肤瘦削 阴虚背热 心肺气虚善悲 阴血亏虚多汗 精血亏虚毛发变异 肾阴虚尿频 阴虚火旺红斑 精血亏虚脱形 肝肾阴虚视物变形 阴虚火炎舌衄 肾虚腰脊痛 肾阴虚火旺齿衄 肝肾阴虚阴疮 阴虚火旺烦躁 肝肾阴虚小便失禁 心阴亏虚小儿心悸 阴虚火旺口唇焦裂 肾阴亏损尿血 心肾不交脏躁 阴虚津亏木舌 阴虚火旺远视 肺燥阴虚鼻干 心肾不交梦游 阴虚咽痛 心肾不交不寐 虚热便血 心肝阴虚颈粗 阴虚内热面色红 肾阴亏虚尿频 阴血亏虚目视无神 肾精不足骨痛 肺脾肾虚肛周疮毒 心肾不交耳聋 虚热结聚胚周痈肿 阴虚肺燥咳痰 阴虚内热红丝赤缕 肝肾阴虚瞳神缩小 肝肾阴虚善怒 肺阴虚咳嗽 肾阴虚火旺牙龈肿痛 血虚阴亏手足心热 肝肾亏虚痴呆 阴虚火旺小便挟精 肾阴虚耳聋 阴虚动风啮齿 阴虚痰阻哮鸣 心阴亏虚不寐 肾阴亏虚尿浊 肾阴欲竭舌光 肝肾阴虚目昏 痰气交阻乳房肿块 阴虚火旺发癍
血精	阴虚火旺血精 下焦湿热血精
瞳神干缺	肝胆郁热瞳神干缺 肝肾阴虚瞳神干缺
产后小便难	血瘀产后小便难 肾气虚产后小便难 气滞产后小便难 气虚产后小便难
拳毛倒睫	风热内积倒睫 肺脾气虚倒睫
鼻衄	胃火炽盛鼻衄 肝肾阴虚腹露青筋 肾阴虚损鼻衄 阴竭阳脱鼻衄 阴虚火旺汗血 血热动血汗血 痰热阻肺顿咳 脾不统血鼻紐 阴虚血热紫癜 风热壅肺鼻衄 瘟毒发黄 褒血内阻朱砂掌 风寒欲解鼻衄 肝火犯肺鼻衄
口唇颤动	胃火挟风口唇颤动 脾虚血燥口唇颤动
经行搭瘺	风热经行痞瘍 血虚经行搭瘺
小儿五硬	血挤五硬 胎寒五硬 风寒五硬
腋汗	肝胆湿热腋汗 肝热阴虚腋汗
